"Alabama,2793740"
"Alaska,616145"
"Arizona,4390920"
"Arkansas,2863917"
"California,57431373"
"Colorado,4363554"
"Connecticut,5636210"
"Delaware,1482807"
"Florida,12595473"
"Georgia,6015628"
"Hawaii,2155056"
"Idaho,1397042"
"Illinois,11353950"
"Indiana,10129290"
"Iowa,2508808"
"Kansas,2954133"
"Kentucky,3337198"
"Louisiana,3395572"
"Maine,1293693"
"Maryland*,7589299"
"Massachusetts,8837682"
"Michigan,7530596"
"Minnesota,7975763"
"Mississippi,2430125"
"Missouri,3661436"
"Montana,909691"
"Nebraska,1526074"
"Nevada*,3555720"
"New Hampshire,759857"
"New Jersey*,12919293"
"New Mexico,1847302"
"New York,22110357"
"North Carolina,7972550"
"North Dakota,1318843"
"Ohio,8220599"
"Oklahoma,2797817"
"Oregon,3767127"
"Pennsylvania,10769764"
"Rhode Island,1019271"
"South Carolina,3177112"
"South Dakota,456517"
"Tennessee,4849751"
"Texas,17523745"
"Utah,2396507"
"Vermont,1633861"
"Virginia,6471308"
"Washington,5458856"
"Washington D.C.,1575630"
"West Virginia,6420981"
"Wisconsin*,621849"
"Wyoming,1910270"
